City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Balezino,76,RU,1543883251,88,57.97,53.01,18.58,9.8
Ajaccio,75,FR,1543881600,55,41.93,8.74,64.4,5.82
Orlik,32,RU,1543883251,56,52.51,99.83,-16.12,2.08
Jamestown,0,AU,1543883191,49,-33.21,138.6,71.68,6.4
Veraval,88,FR,1543881600,93,49.65,0.71,51.8,5.82
Turukhansk,32,RU,1543883252,0,65.8,87.96,-42.45,2.98
Winnemucca,1,US,1543881360,66,40.97,-117.74,30.92,9.17
Talara,48,PE,1543883253,70,-4.58,-81.27,71.14,8.86
Torbay,90,CA,1543882800,100,47.66,-52.73,42.8,20.8
Youkounkoun,0,GN,1543883253,36,12.53,-13.12,69.83,5.28
Saint-Philippe,90,CA,1543882860,89,45.36,-73.48,32.0,6.93
Alta Floresta,92,BR,1543883253,95,-9.87,-56.08,72.8,1.19
Vila Velha,20,BR,1543881600,88,-3.71,-38.6,80.6,11.41
Qaanaaq,0,GL,1543883254,100,77.48,-69.36,-10.54,8.23
Thompson,90,CA,1543881600,92,55.74,-97.86,19.4,4.7
Yumen,64,CN,1543883254,71,40.29,97.04,2.74,2.19
Bathsheba,20,BB,1543881600,74,13.22,-59.52,80.6,17.22
Old Saybrook,90,US,1543881360,73,41.29,-72.38,51.08,5.82
Kasongo-Lunda,68,CD,1543883255,94,-6.48,16.82,68.48,1.74
Hami,32,CN,1543883255,48,42.84,93.51,-3.75,2.71
Inongo,20,CD,1543883255,99,-1.93,18.29,72.04,2.26
Narsaq,56,GL,1543881000,68,60.91,-46.05,28.4,10.29
Katsina,0,NG,1543883256,46,12.99,7.6,62.05,6.11
Bethel,1,US,1543881360,84,60.79,-161.76,28.94,9.17
Kirakira,44,SB,1543883257,100,-10.46,161.92,82.7,9.75
Barguzin,24,RU,1543883257,72,53.62,109.63,-18.69,0.96
Mana,0,RS,1543881600,86,43.52,20.24,41.0,4.7
Alofi,75,NU,1543881600,74,-19.06,-169.92,84.2,11.41
North Olmsted,90,US,1543882560,78,41.42,-81.92,37.04,11.41
New Norfolk,75,AU,1543881600,47,-42.78,147.06,57.2,9.17
Aguimes,0,ES,1543881600,82,27.91,-15.45,62.6,4.7
Itaituba,48,BR,1543883258,93,-4.26,-55.99,76.27,2.04
Sikasso,0,ML,1543883258,43,11.32,-5.68,66.46,5.77
Clyde River,90,CA,1543881600,83,70.47,-68.59,-7.61,36.91
Ambon,92,FR,1543881600,93,47.55,-2.56,55.4,11.41
Dunedin,92,NZ,1543883163,95,-45.87,170.5,62.68,4.99
Aklavik,90,CA,1543881600,73,68.22,-135.01,23.0,10.29
Ariogala,92,LT,1543881000,100,55.26,23.48,37.4,8.05
San Rafael,32,AR,1543883260,46,-34.61,-68.33,66.91,2.82
Sitka,0,US,1543883260,69,37.17,-99.65,29.83,4.88
Arraial do Cabo,88,BR,1543883156,98,-22.97,-42.02,73.48,11.32
Benicarlo,0,ES,1543883261,100,40.42,0.43,62.59,4.88
Khatanga,44,RU,1543883261,46,71.98,102.47,-27.96,2.86
Nanning,90,CN,1543881600,94,22.83,108.3,71.6,2.24
Nchelenge,88,ZM,1543883261,98,-9.35,28.74,68.48,2.98
Kavieng,8,PG,1543883262,97,-2.57,150.8,86.44,2.37
Conroe,1,US,1543882500,59,30.31,-95.46,60.8,3.36
Carutapera,92,BR,1543883262,95,-1.2,-46.02,78.61,3.2
Bambous Virieux,40,MU,1543878000,88,-20.34,57.76,73.4,4.7
Sao Filipe,0,CV,1543883262,96,14.9,-24.5,75.68,10.87
Airai,0,TL,1543883263,87,-8.93,125.41,77.08,2.19
Alyangula,0,AU,1543881600,59,-13.85,136.42,91.4,12.75
Zhigansk,0,RU,1543883263,0,66.77,123.37,-46.41,2.59
Marsh Harbour,8,BS,1543883263,99,26.54,-77.06,80.32,10.76
Lac-Megantic,90,CA,1543882500,86,45.58,-70.88,28.4,13.87
Iqaluit,75,CA,1543881600,77,63.75,-68.52,-0.41,11.41
Carnarvon,0,ZA,1543883264,62,-30.97,22.13,53.45,8.57
Ngunguru,20,NZ,1543883264,87,-35.62,174.5,68.98,14.05
Palmer,1,US,1543881480,96,61.6,-149.11,33.08,3.36
Benalla,0,AU,1543881600,40,-36.55,145.99,69.8,10.29
Guadix,0,ES,1543881600,93,37.3,-3.14,42.8,0.85
Kruisfontein,92,ZA,1543883265,100,-34.0,24.73,57.82,7.56
Malinovskiy,92,RU,1543883265,86,54.15,34.53,23.44,16.4
Padilla,92,CO,1543883266,100,3.23,-76.31,54.58,1.19
Vao,100,EE,1543883266,95,59.1,26.19,32.44,9.75
Joao Pinheiro,92,BR,1543883266,99,-17.74,-46.17,68.89,2.19
Bara,0,NG,1543883266,36,10.41,10.6,71.63,8.86
Matamoros,90,US,1543881300,83,25.87,-97.51,68.0,11.41
Half Moon Bay,1,US,1543881600,47,37.46,-122.43,57.92,6.93
Namatanai,44,PG,1543883267,97,-3.66,152.44,85.0,5.73
Fortuna,0,ES,1543881600,87,38.18,-1.13,53.6,4.7
Manzil Salim,0,TN,1543881600,81,35.86,8.48,42.8,2.24
Smirnykh,80,RU,1543883268,89,49.74,142.83,27.85,5.5
Ribeira Grande,48,PT,1543883268,99,38.52,-28.7,63.94,27.13
Bandarbeyla,92,SO,1543883268,100,9.49,50.81,78.88,21.09
Kapaa,90,US,1543881600,78,22.08,-159.32,80.96,11.41
Tazovskiy,44,RU,1543883269,39,67.47,78.7,-25.26,16.96
Coihaique,40,CL,1543881600,67,-45.58,-72.07,59.0,3.36
Palu,76,ID,1543883269,92,-0.9,119.87,69.7,1.86
Tiksi,36,RU,1543883269,60,71.64,128.87,-6.72,5.84
Mandiana,0,GN,1543883269,44,10.62,-8.7,66.55,5.06
La Palma,24,CO,1543883270,74,5.36,-74.39,71.32,0.81
Kahului,20,US,1543881360,54,20.89,-156.47,84.02,20.8
Cabo San Lucas,20,MX,1543881000,60,22.89,-109.91,75.2,5.82
Moron,68,VE,1543883271,95,10.49,-68.2,68.89,2.53
Aykhal,44,RU,1543883271,40,65.95,111.51,-26.74,6.11
Victoria,75,BN,1543881600,83,5.28,115.24,84.2,4.7
Bluff,24,AU,1543883271,58,-23.58,149.07,86.89,5.21
Chapais,90,CA,1543881600,85,49.78,-74.86,17.6,9.17
Shache,0,CN,1543883272,72,38.42,77.24,10.12,2.86
Azua,75,DO,1543878000,74,18.45,-70.73,80.6,6.93
Quatre Cocos,40,MU,1543878000,88,-20.21,57.76,73.4,4.7
Baruun-Urt,36,MN,1543883273,56,46.68,113.28,-13.42,7.4
Poum,0,MK,1543883273,79,41.28,20.71,22.85,1.86
Rujiena,92,LV,1543883273,94,57.9,25.33,36.53,11.77
Dodge City,90,US,1543881240,74,37.75,-100.02,24.98,5.82
Barrow,0,AR,1543883274,56,-38.31,-60.23,54.71,8.01
Salina,90,US,1543882500,79,36.29,-95.15,32.0,8.05
Husavik,76,CA,1543883274,83,50.56,-96.99,18.71,9.75
Hamilton,90,BM,1543881300,88,32.3,-64.78,73.4,20.8
Fort Nelson,90,CA,1543881600,84,58.81,-122.69,6.8,3.36
Saskylakh,24,RU,1543883275,53,71.97,114.09,-17.65,6.85
Hobart,75,AU,1543881600,47,-42.88,147.33,57.2,9.17
Henderson,1,US,1543881480,24,36.04,-114.98,51.98,4.7
Kalevala,80,FI,1543883275,88,64.12,29.58,20.51,8.63
Nortelandia,32,BR,1543883276,89,-14.45,-56.8,74.38,4.05
Susaki,75,JP,1543881600,88,33.42,133.28,66.2,5.82
Yellowknife,90,CA,1543881600,92,62.45,-114.38,21.2,8.05
Lubango,0,AO,1543883276,93,-14.92,13.49,58.31,1.48
Leningradskiy,36,RU,1543883277,100,69.38,178.42,-3.3,32.68
Aquiraz,20,BR,1543881600,88,-3.9,-38.39,80.6,11.41
Qandala,0,SO,1543883277,100,11.47,49.87,55.88,2.98
Paamiut,44,GL,1543883277,100,61.99,-49.67,29.38,17.92
Saint-Leu,0,RE,1543881600,60,-21.15,55.28,73.4,6.93
Lagoa,0,PT,1543879800,100,37.14,-8.45,51.8,4.7
Kalabo,0,ZM,1543883278,67,-15.0,22.67,72.76,9.57
Constitucion,5,MX,1543880820,8,23.99,-104.67,75.2,3.36
Tyrma,0,RU,1543883279,76,50.04,132.17,-4.38,2.86
Puerto Escondido,75,MX,1543880700,70,15.86,-97.07,86.0,6.4
Srednekolymsk,48,RU,1543883279,62,67.46,153.71,-12.93,2.75
Behbahan,8,IR,1543883279,83,30.59,50.24,51.16,3.53
Skelleftea,92,SE,1543881000,100,64.75,20.95,30.2,6.93
Hervey Bay,80,AU,1543881600,66,-25.3,152.85,84.2,9.17
Yarensk,88,RU,1543883280,85,62.17,49.09,19.39,6.73
Nelson Bay,40,AU,1543881600,57,-32.72,152.14,77.0,12.75
Fairbanks,90,US,1543881480,97,64.84,-147.72,28.4,8.79
Provideniya,75,RU,1543881600,79,64.42,-173.23,23.0,13.42
Grand Gaube,40,MU,1543878000,88,-20.01,57.66,73.4,4.7
Vardo,90,US,1543882500,51,39.62,-77.74,48.2,6.93
Beringovskiy,12,RU,1543883281,100,63.05,179.32,0.35,21.88
Elat,44,CM,1543883282,98,2.91,11.16,67.45,1.97
Eureka,1,US,1543881300,52,40.8,-124.16,51.98,3.36
Soyo,64,AO,1543883282,91,-6.13,12.37,76.09,3.09
Marsaxlokk,20,MT,1543880700,87,35.84,14.54,60.8,14.99
Hong Gai,100,VN,1543881600,100,20.96,107.09,75.2,4.7
Luderitz,0,NA,1543883283,76,-26.65,15.16,58.81,17.69
Mogadishu,8,SO,1543883283,99,2.04,45.34,80.59,13.44
Bulgan,0,MN,1543883283,27,48.81,103.53,-21.75,2.86
Lekoni,88,GA,1543883284,99,-1.58,14.26,67.85,3.09
Prince Rupert,1,CA,1543881600,86,54.32,-130.32,33.8,2.3
Diamantino,64,BR,1543883284,90,-14.4,-56.44,73.61,5.39
Cidreira,0,BR,1543883284,70,-30.17,-50.22,60.79,6.51
Goderich,36,CA,1543883284,83,43.74,-81.71,32.17,15.57
Baghdad,76,IQ,1543881600,100,33.3,44.38,51.8,2.24
Tikrit,48,IQ,1543883285,89,34.62,43.68,43.46,2.82
Iskateley,68,RU,1543883285,86,67.68,53.15,17.0,14.61
Ponta do Sol,92,BR,1543883285,87,-20.63,-46.0,68.98,8.63
Jalingo,0,NG,1543883286,36,10.3,10.93,71.63,8.86
Baiao,92,BR,1543883286,100,-2.79,-49.67,73.48,2.19
Katsuura,75,JP,1543881600,100,33.93,134.5,59.0,3.36
Gilbues,92,BR,1543883286,95,-9.83,-45.34,69.43,2.82
Hambantota,36,LK,1543883287,100,6.12,81.12,79.42,13.11
Chuy,0,UY,1543883287,63,-33.69,-53.46,62.86,14.38
Mfou,75,CM,1543881600,94,3.72,11.64,71.6,2.19
Esna,68,RO,1543883287,100,45.2,27.57,23.17,6.33
Taoudenni,0,ML,1543883288,32,22.68,-3.98,59.71,13.33
Linxia,0,CN,1543883288,36,35.6,103.21,6.38,3.04
Severo-Yeniseyskiy,0,RU,1543883288,82,60.37,93.04,-39.3,2.37
Hasaki,75,JP,1543881600,87,35.73,140.83,55.4,2.24
Ahipara,36,NZ,1543883289,88,-35.17,173.16,65.78,15.9
May Pen,20,JM,1543878000,58,17.97,-77.26,82.4,12.75
Klaksvik,44,FO,1543881000,64,62.23,-6.59,33.8,11.41
Mar del Plata,0,AR,1543883289,32,-46.43,-67.52,80.95,19.04
Saldanha,24,PT,1543883290,89,41.42,-6.55,38.65,1.97
Erzin,75,TR,1543881000,76,36.95,36.2,59.0,11.41
Kavaratti,24,IN,1543883290,100,10.57,72.64,82.88,4.72
Miguel Hidalgo,5,MX,1543881540,25,19.41,-99.19,75.2,8.05
Norman Wells,90,CA,1543881600,92,65.28,-126.83,6.8,3.36
Bowen,0,AU,1543881600,46,-20.01,148.25,93.2,8.05
Whitehorse,20,CA,1543881600,85,60.72,-135.06,17.6,19.46
Yeppoon,20,AU,1543881600,49,-23.13,150.74,91.4,8.05
Qasigiannguit,0,GL,1543881000,51,68.82,-51.19,14.0,11.41
San Quintin,0,PH,1543883292,76,17.54,120.52,74.96,3.38
Zyryanka,56,RU,1543883292,65,65.73,150.89,-13.87,2.26
Puquio,0,PE,1543883292,40,-14.69,-74.12,38.2,5.32
Maua,8,KE,1543883292,80,0.23,37.94,55.61,2.3
Willowmore,88,ZA,1543883293,96,-33.3,23.49,50.53,2.08
Upernavik,32,GL,1543883293,100,72.79,-56.15,20.92,9.75
Aksu,40,KZ,1543881600,91,52.04,76.93,-5.81,6.71
Knysna,80,ZA,1543878000,93,-34.04,23.05,57.2,2.24
Palencia,24,ES,1543883294,92,42.01,-4.53,43.55,3.71
Conakry,0,GN,1543883041,100,9.52,-13.7,82.12,9.64
Henties Bay,12,NA,1543883294,100,-22.12,14.28,57.95,5.73
Cochrane,0,CL,1543883294,50,-47.25,-72.57,54.49,3.87
Mahebourg,40,MU,1543878000,88,-20.41,57.7,73.4,4.7
Nemuro,75,JP,1543881600,100,43.32,145.57,41.0,3.36
San Jose Iturbide,5,MX,1543880520,33,21.0,-100.38,71.6,4.7
The Valley,20,AI,1543881600,69,18.22,-63.06,80.6,6.93
Cleveland,90,US,1543882560,78,41.51,-81.69,37.04,17.22
Riberalta,75,BO,1543878000,83,-11.0,-66.08,78.8,1.86
Warman,75,CA,1543881600,92,52.32,-106.58,14.0,9.17
Mangla,32,IN,1543883296,47,32.54,76.11,37.48,2.04
Durusu,40,TR,1543881600,81,37.53,40.83,46.4,6.93
Adrar,0,DZ,1543881600,40,27.87,-0.29,53.6,12.75
Jakarta,20,ID,1543881600,83,-6.18,106.83,78.8,3.36
Myitkyina,0,MM,1543883297,93,25.38,97.4,53.68,2.98
Kushiro,75,JP,1543881600,80,43.11,144.15,39.2,4.7
Zeya,12,RU,1543883297,50,53.74,127.27,-18.33,3.98
Adre,0,TD,1543883298,30,13.47,22.2,68.03,9.75
Ostrovnoy,80,RU,1543883298,90,68.05,39.51,22.18,12.37
Seymchan,36,RU,1543883298,67,62.93,152.39,-23.32,2.59
Cockburn Town,24,TC,1543883298,99,21.46,-71.14,80.95,16.96
Odessa,1,US,1543881300,42,31.85,-102.37,54.5,6.93
Semey,64,KZ,1543883299,89,50.41,80.25,9.98,5.77
Cherskiy,36,RU,1543883299,76,68.75,161.3,-16.89,4.5
Lashio,0,MM,1543883299,97,22.93,97.75,53.45,2.26
Kamenka,48,RU,1543883300,88,53.19,44.05,11.83,5.88
Touros,20,BR,1543881600,83,-5.2,-35.46,80.6,11.41
Souillac,75,FR,1543881600,100,45.6,-0.6,55.4,6.93
Ust-Kuyga,24,RU,1543883300,50,70.0,135.55,-30.21,2.19
Loreto,0,PY,1543883301,62,-23.27,-57.32,71.05,7.9
Kumano,90,JP,1543881600,93,34.34,132.59,64.94,1.12
Abhar,12,IR,1543883301,71,36.14,49.22,20.33,2.08
Somers,40,US,1543881360,53,41.33,-73.69,51.08,10.29
Ahuimanu,75,US,1543881420,84,21.44,-157.84,82.94,9.17
Neyshabur,20,IR,1543883301,89,36.21,58.79,28.93,3.6
Kaeo,0,NZ,1543883302,72,-35.1,173.78,71.95,14.9
Nabire,76,ID,1543883302,93,-3.36,135.5,74.78,1.07
Ugoofaaru,88,MV,1543883302,100,5.67,73.0,83.2,6.51
Hirara,75,JP,1543881600,100,24.8,125.28,78.8,3.36
Waingapu,0,ID,1543883303,95,-9.65,120.26,79.01,3.6
Talnakh,20,RU,1543883303,65,69.49,88.39,-34.8,5.32
Payo,0,ID,1543883303,91,-3.75,103.64,76.63,4.27
Luino,24,IT,1543882800,93,46.0,8.74,39.2,3.36
Jinji,92,CN,1543883303,99,22.16,112.49,69.56,3.6
Boa Vista,40,BR,1543881600,54,2.82,-60.67,84.2,9.17
Griffith,0,AU,1543881600,40,-34.29,146.06,73.4,9.17
Kazanka,90,UA,1543881600,86,47.83,32.83,33.8,8.95
Lata,20,IN,1543883305,75,30.78,78.62,31.54,1.81
Salalah,0,OM,1543881000,60,17.01,54.1,71.6,4.7
Kampot,20,KH,1543881600,78,10.62,104.18,82.4,4.7
Yinchuan,0,CN,1543883306,63,38.48,106.21,0.98,3.31
Itigi,76,TZ,1543883306,97,-5.7,34.5,62.68,3.38
Somerset West,20,ZA,1543878000,67,-34.08,18.85,60.8,3.36
Los Llanos de Aridane,8,ES,1543881600,77,28.66,-17.92,62.6,4.7
Northam,40,GB,1543881000,93,51.04,-4.21,44.6,4.7
Rybinsk,64,RU,1543883307,86,58.05,38.83,20.51,15.84
Bacolod,76,PH,1543883307,94,10.68,122.95,77.75,4.5
Wainwright,12,CA,1543883307,84,52.84,-110.86,19.57,10.92
Novopokrovka,0,RU,1543883307,75,45.85,134.51,19.7,3.76
Kainantu,8,PG,1543883308,84,-6.29,145.87,73.66,1.52
Margate,75,AU,1543881600,47,-43.03,147.26,57.2,9.17
Vrangel,80,RU,1543883308,100,42.73,133.08,37.03,19.42
Coos Bay,1,US,1543881360,56,43.37,-124.22,51.98,8.05
Veinticinco de Mayo,20,AR,1543883309,57,-27.38,-54.75,65.06,6.85
La Paz,5,MX,1543881120,53,24.15,-110.32,71.6,18.34
Fort Saint James,64,CA,1543883309,95,54.43,-124.25,15.2,2.26
Kargat,24,RU,1543883309,75,55.19,80.28,-16.8,7.07
Affery,0,CI,1543883310,90,6.32,-3.95,74.02,3.38
Lompoc,1,US,1543882500,53,34.64,-120.46,60.98,5.82
Nizhniy Kuranakh,56,RU,1543883310,48,58.84,125.49,-30.39,5.28
Rawson,8,AR,1543883310,21,-43.3,-65.11,77.89,11.81
Clarence Town,40,AU,1543881600,57,-32.59,151.78,77.0,12.75
Te Anau,8,NZ,1543883311,55,-45.41,167.72,64.21,5.21
Maniitsoq,92,GL,1543883311,100,65.42,-52.9,20.33,11.59
Zaysan,80,KZ,1543883311,81,47.47,84.87,1.57,4.05
Nantucket,1,US,1543881360,83,41.28,-70.1,48.92,12.75
Lamu,76,ID,1543883311,100,0.57,122.3,75.73,2.37
Talcahuano,90,CL,1543881600,82,-36.72,-73.12,57.2,5.82
Savonlinna,90,FI,1543881000,92,61.87,28.88,28.4,6.93
Rundu,64,NA,1543883312,76,-17.91,19.77,69.07,5.06
Victor Harbor,90,AU,1543882320,72,-35.55,138.62,64.4,3.36
Jalu,0,LY,1543883313,91,29.03,21.55,48.64,7.52
Kaka,8,TM,1543883313,86,37.35,59.62,34.1,3.2
Chokurdakh,36,RU,1543883313,68,70.62,147.9,-14.77,4.54
East London,92,ZA,1543883279,100,-33.02,27.91,67.0,8.86
Tessalit,0,ML,1543883314,34,20.2,1.01,56.2,5.99
Iberia,8,PE,1543883314,71,-11.41,-69.49,76.09,3.31
Saint George,0,GR,1543881000,100,39.45,22.34,39.2,2.59
Romitan,20,UZ,1543881600,82,39.93,64.38,32.0,4.7
Feijo,90,EC,1543881600,73,-3.63,-79.92,89.6,5.82
Kotka,90,FI,1543881000,92,60.47,26.95,24.8,10.29
Fukue,75,JP,1543881600,87,35.03,136.69,60.8,3.36
Buritizeiro,92,BR,1543883315,99,-17.37,-44.96,69.16,5.06
Dudinka,12,RU,1543883316,53,69.41,86.18,-30.7,13.6
Kamaishi,75,JP,1543881600,93,39.28,141.86,46.4,2.24
Alugan,68,PH,1543883316,100,12.22,125.48,80.14,9.75
Morros,75,BR,1543881600,88,-2.87,-44.04,78.8,2.24
Bubaque,0,GW,1543883317,96,11.28,-15.83,82.16,4.76
Lonigo,0,IT,1543882800,93,45.39,11.39,44.6,1.12
Daur,24,PK,1543881300,82,26.46,68.32,59.0,3.09
Blackwater,20,GB,1543881000,86,51.33,-0.78,44.6,5.82
Fernley,75,US,1543881360,46,39.61,-119.25,37.94,9.17
Dawlatabad,64,AF,1543883318,88,36.41,64.91,30.37,2.08
Zhanakorgan,0,KZ,1543883318,72,43.91,67.25,10.88,2.98
Goure,0,NE,1543883318,29,13.98,10.27,67.18,11.92
Faya,0,SA,1543878000,62,18.39,42.45,57.2,2.37
Khandyga,56,RU,1543883319,84,62.65,135.58,-39.66,2.75
Burgeo,8,CA,1543883319,100,47.61,-57.61,37.3,19.3
Ilulissat,0,GL,1543881000,51,69.22,-51.1,14.0,11.41
Sinnamary,80,GF,1543883319,99,5.38,-52.96,79.33,11.43
Mount Gambier,90,AU,1543881600,72,-37.83,140.78,60.8,10.29
Rapid Valley,90,US,1543882500,100,44.06,-103.15,23.0,2.53
Oktyabrskiy,75,RU,1543881600,85,55.61,37.97,23.0,11.18
Harstad,88,NO,1543881000,60,68.8,16.53,41.0,10.29
Bulembu,20,SZ,1543881600,83,-25.95,31.13,69.8,3.36
Ponta Delgada,75,PT,1543879800,72,37.73,-25.67,62.6,14.99
Aasiaat,8,GL,1543883321,100,68.71,-52.87,22.09,18.63
Oranjestad,40,AW,1543881600,78,12.52,-70.03,78.8,10.29
Banjar,80,ID,1543883322,96,-7.37,108.54,72.94,3.49
Bambanglipuro,8,ID,1543883322,95,-7.95,110.28,77.26,3.09
Ewa Beach,20,US,1543881420,53,21.32,-158.01,82.94,9.17
Roald,92,NO,1543881000,75,62.58,6.12,41.0,21.92
Agadez,36,NE,1543883144,29,16.97,7.99,67.18,12.93
Moose Factory,90,CA,1543882740,78,51.26,-80.61,14.0,6.93
Bainbridge,24,US,1543882500,88,30.9,-84.58,62.6,9.53
Umm Lajj,76,SA,1543883323,100,25.02,37.27,68.53,4.54
Hatillo,1,PR,1543881000,99,18.49,-66.83,77.0,10.29
Sao Desiderio,80,BR,1543883323,99,-12.36,-44.97,68.62,4.88
Tahe,0,CN,1543883324,62,52.34,124.71,-14.5,5.1
Roebourne,0,AU,1543883324,75,-20.77,117.15,72.31,8.86
Takoradi,12,GH,1543883324,100,4.89,-1.75,81.4,7.4
Portland,20,US,1543877760,60,45.52,-122.67,50.0,10.29
Faanui,48,PF,1543883324,100,-16.48,-151.75,83.33,11.92
Etchoropo,0,MX,1543883325,45,26.77,-109.67,76.85,8.63
Vanimo,68,PG,1543883325,100,-2.67,141.3,83.83,5.61
Awbari,0,LY,1543883325,76,26.59,12.77,39.1,2.75
Necochea,48,AR,1543883045,90,-38.55,-58.74,54.49,8.9
Santiago,32,CL,1543881600,72,-33.44,-70.65,66.2,5.82
Grindavik,75,IS,1543881600,92,63.84,-22.43,28.4,18.34
Pisco,90,PE,1543881600,83,-13.71,-76.2,69.8,18.34
Richards Bay,92,ZA,1543883327,99,-28.77,32.06,67.99,11.77
Imeni Babushkina,76,RU,1543883327,83,59.76,43.13,17.5,9.91
Amga,68,RU,1543883327,75,60.89,131.98,-37.99,4.83
Pontianak,40,ID,1543881600,100,-0.02,109.34,75.2,4.7
Aden,0,YE,1543883328,99,12.79,45.03,79.42,15.28
Zhezkazgan,0,KZ,1543881600,77,47.8,67.71,1.4,11.18
Kigorobya,24,UG,1543883328,100,1.62,31.31,74.2,4.38
